title,id,grant_ref,status,grant_category,funder,grant_offer,lead_org,start_date,end_date,staff_members,roles,abstract,tags
Identifying the drivers and vulnerabilities of acral lentiginous melanoma through the study of PDX models from Latin American patients,C4878F69-BBB2-495A-B108-45511C26CC31,MR/S01473X/1,Closed,Research Grant,MRC,188804,Wellcome Sanger Institute,2018-11-15,2022-03-30,David Adams,David Adams (PI),"Melanoma is the common cancer that has increased its worldwide incidence the most in the last decades. Survival rates for cutaneous melanoma have increased dramatically in the last decades due in part to the development of drugs that specifically target disease subtypes and agents that stimulate the immune response against tumours. These breakthroughs have been possible thanks to the study of mutations in melanoma genomes and the use of pre-clinical models that faithfully resemble human tumours. However, this success has not been realised yet for patients with acral lentiginous melanoma (ALM), which constitutes the most common subtype of this disease in some Latin American countries. ALM has remained poorly studied to date due to its rarity in European-descent populations, and its causes and genetic and environmental drivers remain mostly unknown; thus survival rates and response to therapy are still poor in these patients. The long-term aim of this project is to develop novel therapies for ALM patients. In this context, we have two specific aims: 

1. Generate and characterise a comprehensive collection of faithful ALM pre-clinical models in the form of patient-derived xenografts (PDX). PDX are human tumours implanted into immunodeficient mice. This collection will include tumours from a variety of body locations and will come from Brazil and Mexico to account for the large variability observed within the disease. We will sequence each PDX's protein-coding genome, and determine gene and protein expression levels to understand what biological pathways are altered in ALM tumours. We will also analyse genetic ancestry, which has been hypothesised to increase risk to develop some tumour types, such as breast cancer. An enrichment of certain genome variants in cases when compared to their population of origin might indicate regions of the genome that modify risk to develop ALM. 

2. Use the PDX collection in order to explore new targets for therapy and biomarkers of ALM. The molecular characterisation of ALMs will allow us to identify potential drug targets, biomarkers useful to determine responders to a specific treatment, and potential resistance mechanisms. We plan to explore this at first by focusing on CDK4 pathway dependencies via direct treatment of PDX-carrying mice with CDK4 inhibitors followed by assessment of tumour growth, as well as the study of gene and protein profiles of responder and non-responders. 

We expect that the results from this project will identify genetic risk factors and suggest therapeutic alternatives for ALM patients, and that it will establish a valuable resource, in the form of a PDX collection, that can be shared with the research community.",Health & Wellbeing; Economy & Development
Impact Acceleration Account 2019: Glasgow,129E777E-6F7A-4E6C-B560-3DF5310D6131,ES/T501918/1,Closed,Research Grant,ESRC,1284699,University of Glasgow,2019-03-31,2023-03-30,Jude Robinson; Sally Wyke,Jude Robinson (PI); Sally Wyke (PI),"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",
Integrated Deprived Area Mapping System (IDEAMAPS) Network,6EEA9F72-9804-4860-980C-FF3CD32B8DEE,EP/T029900/1,Closed,Research Grant,GCRF,144595,African Population and Health Research Center,2020-04-30,2021-04-29,Joao Porto de Albuquerque,Joao Porto de Albuquerque (Co-I),"Introduction:

The UN estimates that 2.5 billion people will be added to the planet over the next 30 years. A large portion of these populations will reside in deprived neighbourhoods including slums, informal settlements, and areas of inadequate housing and face a range of challenges from insecure tenure, to unplanned housing, pollution, environmental risk, and social exclusion. Spatial data on such neighbourhoods are commonly not available. On the occasions that they do exist, they quickly become out-dated. Without up-to-date information on the geography (location and extent) of deprived neighbourhoods and the specific social and physical environmental conditions faced by their inhabitants, the impact of these on health and social outcomes are not traceable and the development of effective interventions is not achievable. However, there is currently no systematic, scalable approach to map deprived neighbourhoods across cities, particularly in low- and middle-income countries (LMICs). 


Methodology:

The project will design an Integrated Deprived Area Mapping System (IDEAMAPS) that will push the boundaries and overcome the weaknesses of each of these current approaches to mapping slums, informal settlements, and areas of inadequate housing. This will be accomplished by joining up a multisectoral and transdisciplinary network of researchers, technologists and societal stakeholders who will collaborate to co-design the IDEAMAPS approach to map and address neighbourhood deprivation and perform pilot studies in Nairobi, Accra, and Lagos, where we have existing strong partnerships and access to existing data (see details below). This approach will consist of an innovative combination of three components: (a) engagement of stakeholders in different scales; (b) modelling and data infrastructure techniques that aim to integrate and leverage the accuracy of field-based maps; (c) an integrative framework, which defines assessment criteria for characterising neighbourhood deprivation in connection with sustainable development. 

Work Groups:

WP1. Stakeholder Engagement- This work package (WP) leads engagement of stakeholders across sectors (e.g. EO, demography, community, policy) in both established and innovative ways to further develop understanding of urban neighbourhood deprivation, and to create enabling environments in which a deprived area mapping system can be implemented.

WP2. Integrative Frameworks- This will be dedicated to the synthesis of key requirements and a shared agenda for the IDEAMAPS approach. It will begin with collating existing literature reviews from current and past projects of the research team: specifically, the Improving Health in Slums Collaborative, Surveys for Urban Equity, Million Neighborhoods Initiative, Modelling African Urban Population Patterns, Accra women's health study, and Standardizing City-Level Data-Gathering in Lagos and Accra. 

WP3. Modelling and Data Infrastructure Techniques. This WP3 collate existing data and methods to test potential IDEAMAPS approaches. Based on the domains of deprivation framework developed in WP 2 with input from stakeholders of WP1, we will develop new area-level environmental (e.g. flood risk) and social datasets (e.g. open sewers), and evaluate modelling approaches that can capture domains of deprivation individually, as well as an overall deprivation &quot;slumness&quot; index. WP2 will also investigate different visualisation targeted at end-users in different scales. The evaluation criteria developed in WP 2 will be used to assess and compare model outputs.

Expected Output:

The work packages will create a foundation of stakeholder engagement approaches, frameworks, and techniques to scale-up over the next three years to flesh out an integrated deprivation area mapping system (IDEAMAPS) with a capacity to generate more accurate and usable maps and integrate them into community upgrading and advancing progress toward sustainable development goal.",Housing & Urban; Inequality & Social Justice; Data & Digital
"International Trans and Intersex Activist Relationships: Ethics, Ethnodrama and Representation",25F950DD-E142-443E-932E-3F42584B8E7E,ES/W005689/1,Closed,Fellowship,ESRC,98717,University of Strathclyde,2021-09-30,2022-12-19,Harvey Humphrey,Harvey Humphrey (Fellow),"In collaboration with Professor Yvette Taylor, a leading scholar in LGBTI [lesbian, gay, bi, trans, intersex] research and queer methods and whose work includes international LGBTI projects, this Fellowship will develop events and publications to speak to diverse audiences. This Fellowship is situated in the University of Strathclyde, an internationally leading research intensive institution, in the School of Education, with its significant research impact in areas covering equality, LGBTI lives, and methodologies. Additionally, the Fellowship will contribute to the aim of making space in higher education for queer, trans and disabled academics. This is part of a wider agenda as part of a community of queer, trans and disabled scholars committed to challenging transphobia, homophobia and ableism while creating networks to form a sense of community of academics, activists and allies. The Fellowship will present an original ethnodrama (play) drawn from participant interviews with trans, intersex and LGBTI activists in the UK, Malta and Australia conducted during the PhD. These countries are significant for their recent legislation recognising trans and intersex citizens within Australia (Sex Discrimination Amendment (Sexual Orientation Gender Identity and Intersex Status) 2013); Malta (Gender Identity Gender Expression and Sex Characteristics Act 2015); Scotland (Offences (Aggravation by Prejudice) (Scotland) Act 2009); and the UK (Gender Recognition Act 2004; Equality Act 2010). Furthermore, Malta and Australia were the locations of recent intersex equality consensus statements: the Malta Declaration, 2013, and the Darlington Statement, 2017. These locations remain at the forefront of ongoing legislative reform in these areas. The ethnodrama takes a fictitious legislative consultation as a context to discuss the contestation of language and the negotiation of identities experienced by participants. Many participants had recently engaged in consultations on these legislative developments so the fictional consultation is drawn from those experiences. The presentation of the ethnodrama allows for these complex ideas relating to the contestation of language and identities in law, as well as within activist groups, to be discussed and disseminated widely.
The importance of trans, intersex and LGBTI relationships as well as the wider context of political and media relationships are central features of the ethnodrama and central findings of the thesis from which the ethnodrama is constructed. The ongoing consultations for legislative reform across the UK and Scotland in relation to the Gender Recognition Act (2004) and hate crime legislation (Hate Crime and Public Order (Scotland) Bill 2021) provide a relevant current context to watch this ethnodrama developed from recent data collection (2016-2018). A performance of the ethnodrama will offer the potential for engaging reflection on continued legislative reform and public debate. This will be of interest to those interested and invested in social-legal reform and anti-reformers. The Fellowship will be concerned with navigating ethical impact and engagement with and beyond LGBTI communities. The use of ethnodrama as a form of fictionalised representation of participants' data was utilised to preserve anonymity through composite characters to voice the words of multiple participants. This protects participants' ongoing relationships with each other. This allowed for discussion of trans and intersex activist relationships including group and organisational conflicts without compromising these relationships. This Fellowship will contribute to ongoing conversations on ethical public engagement and ethical representations of participant data on topics that may be considered controversial. The ways in which creative methods, including fictionalisation and ethnodrama, can allow for ethical engagement with contested terms and ideas will provide a context for publications, training and talks.",Gender & Equality; Governance & Policy; Culture & Heritage
Investigations in Gravitational Radiation,39FAC0E3-6F53-4339-A8A6-D702A4FA7814,ST/V005634/1,Active,Research Grant,STFC,5974821,University of Glasgow,2021-09-30,2026-03-30,Christopher Berry,Christopher Berry (Co-I),"Einstein's General Relativity predicts that dynamical systems in strong gravitational fields will emit vast amounts of energy in the form of gravitational waves (GW). These are ripples in the very fabric of spacetime that travel from their sources at the speed of light, carrying information about physical processes responsible for their emission. They are among the most elusive signals from the deepest reaches in the Universe.
In September 2015, during the 1st Advanced LIGO observing run, gravitational waves from the collision of two black holes were discovered using the LIGO observatories. The detection of GW150914 resulted in the award of the 2017 Nobel Prize in Physics with explicit recognition of the role of the UK as a critical part of the global team.
In August 2017, during the 2nd observing run, LIGO and Virgo detected the first gravitational wave signal from the collision of two neutron stars. GW170817 was observed in coincidence with a gamma-ray burst (GRB) as well as signals across the electromagnetic spectrum, including the optical and infra-red signature of a kilonova. These discoveries have established a new paradigm of multi-messenger astrophysics

The 3rd observing run of Advanced LIGO and Advanced Virgo (AdV), O3, started on 1st April 2019 and ended in March 2020 during the end of which time the Japanese KAGRA instrument joined the observing network. 
Modelling GW sources has allowed deeper searches and data from LIGO, Virgo, and GEO have increased our understanding of astronomical phenomena. 
We are now able to make regular observations of GWs. To date close to 60 observations of coalescing objects, with an unexpectedly wide range of masses, have been made, with event rates being approximately 1 per week. We now have evidence for the existence of black hole/neutron star binaries, the existence of objects in the mass gap between accepted neutron star masses and black hole masses and the first real experimental evidence for the existence of intermediate mass black holes.
The aLIGO detectors are based on the quasi-monolithic silica suspension concept developed in the UK for GEO600 and on the high-power lasers developed by our German colleagues in GEO600. The AdV detector also uses a variant of the silica suspension technology. Further, KAGRA is being built with input on cryogenic bonding technology from the UK groups.
The consortium groups have led searches for astronomical sources, thanks to funding support received, since first data taking runs began 18 years ago. Key ingredients of several searches were developed at Glasgow.
We propose a programme that exploits data from aLIGO, AdV, and KAGRA building on our analysis of data from the most recent LIGO/Virgo science runs. 

In particular we will observe and analyse signals from the LIGO / Virgo/ KAGRA detector network with particular emphasis on compact binary inference, population and cosmological measurements - measurement of the Hubble Constant and tests of General Relativity, application of machine learning techniques for increased efficiency in modelling signals. performing searches etc and the search for gravitational wave emission from neutron stars.

In parallel, we propose essential detector R&amp;D. Detector sensitivity is mainly limited by thermal noise associated with the substrates of the mirrors, their reflective coatings, and their suspension elements, as well as by noise resulting from the quantum nature of the light used in sensing. Our research is targeted towards making innovative improvements in these areas, essential to maximize the astrophysical potential of GW observatories. 
We have major responsibilities for the silica suspensions in aLIGO, and in the development of enhancements and upgrades to the aLIGO detectors (to form aLIGO+), along with R&amp;D in the areas of mirror coatings for low thermal noise, silicon substrates, cryogenic suspensions and improved interferometer topologies to combat quantum noise.",Data & Digital; Economy & Development
Investigations in Gravitational Radiation,48A1BE72-5368-4D81-8C5A-BA0B892AA5E1,UKRI2487,Active,Research and Innovation,STFC,2832142,University of Glasgow,2025-09-30,2028-09-30,Christopher Berry,Christopher Berry (Co-I),"Einstein's general theory of relativity predicts that accelerating systems in strong gravitational fields will emit vast amounts of energy in the form of gravitational waves (GW). These waves are ripples in the fabric of spacetime that propagate at the speed of light, carrying energy and information about the coalescence of compact objects including neutron stars (NSs) and black holes.
The detection of GWs in 2015 marked the opening of a new window on the Universe, and in 2017 this was recognised through the award of the 2017 Nobel Prize in Physics with explicit recognition of the role of the UK as a critical part of the global team for hardware development critical to the success of Advanced LIGO (aLIGO). With the detection of GW170817, a binary NS with an electromagnetic counterpart, a new paradigm of multi-messenger astrophysics was firmly established.
aLIGO is currently in its 4th observing run (O4) with several public alerts/detections per week, and a binary NS range of typically 150 Mpc (June 2024). Looking to the future, O4 will run until June 2025, generating significant amounts of high-quality astrophysical data for analysis. The LIGO detectors will be upgraded in preparation for O5 (A+) which is scheduled to start mid 2027 (half way into this new consolidated grant). A+ will see significant hardware upgrades, supported via the UK at the level of approximately &pound;10 million (FEC) via a Glasgow-led A+ UK project.
It is essential that the UK capitalises on the investment by STFC to maximise the science return from the current detectors, while at the same time developing the R&amp;D for use in the LIGO detectors and essential to enable improvements in their sensitivity. This grant is a consortium application to allow the GW research groups at the Universities of Glasgow, Strathclyde, and the West of Scotland, together with Rutherford Appleton Laboratory to:

observe, analyse and interpret data from the aLIGO detectors, developing and applying novel data-analysis algorithms to characterise continuous wave, compact binary coalescence and unmodelled burst signals, and using compact binary detections to constrain source populations, infer cosmological parameters and measure the NS equation of state;
play a major role in the commissioning, characterisation and operation of the aLIGO and the A+ detectors, utilising machine learning techniques to identify and characterise the glitches associated with the instruments, thus enhancing the science observing time/output of the instruments;
advance our fundamental research on suspension systems/materials for use in the LIGO detectors and essential to enable sensitivity improvements, pioneering the R&amp;D which supports the continuous improvement, optimisation and development of the existing LIGO detectors.&nbsp;
undertake R&amp;D on the deposition, modelling and characterisation of dielectric mirror coatings, essential for successful operation of the aLIGO/A+ detectors and their sensitivity enhancements, capitalising on world-leading coating facilities being developed in Scotland;
enable experimental demonstration of low displacement noise suspended optics with our unique 10m prototype interferometer in Glasgow, upgraded in 2024 via joint STFC and University infrastructure funding. We will further test novel machine learning techniques to characterise and lock complex suspended cavities, for application to future upgrades within the current LIGO infrastructure and LIGO India.

The UK groups involved in this consortium grant have a track record of delivering internationally leading scientific R&amp;D in data analysis, source inference and hardware development.",Data & Digital; Economy & Development; Housing & Urban
JPI Urban Europe SUGI: Building capacity for integrated governance at the Food-Water-Energy-nexus in cities on the water,AAF37300-38F7-4E93-B54C-82EFEE8858B4,ES/S002235/1,Closed,Research Grant,ESRC,195763,University of Warwick,2018-03-31,2021-11-30,Joao Porto de Albuquerque,Joao Porto de Albuquerque (PI),"Major challenges in urban governance concern interlinking food, water and energy systems, making these linkages understandable to all stakeholders (government, science, business, and citizens), and facilitating cooperation and knowledge exchange among them. The project titled &quot;Creating Interfaces&quot; will address these challenges by developing and testing innovative approaches for local knowledge co- creation and participation through Urban Living Labs in three mid-size cities on water: Tulcea, Romania, Wilmington, USA and Slupsk, Poland. Complemented by previous research and a citizen science toolbox, these Labs comprise a user-defined co-creative approach where research questions, problems, and solutions are decided and implemented with stakeholders themselves.",Housing & Urban; Governance & Policy
Lifelong Physical AcTivity TArgeting INequalities (ATTAIN): A Transformative Network for Healthy Ageing,75989ADC-1C14-43BE-93F6-C4E9016859D9,BB/W018330/1,Closed,Research Grant,BBSRC,281075,University of Birmingham,2022-02-14,2025-03-30,Victoria Palmer,Victoria Palmer (Co-I),"Why is research in physical activity and inequality important for healthy ageing?
Average age in the UK population is continually increasing. Although we are living longer, many older individuals spend a large proportion of their later years in poor health and quality of life, which becomes more apparent in the poorest sectors of our society and minority ethnic communities. Physical activity is essential for healthy ageing, but evidence to support the health benefits of physical activity in socially deprived and ethnic minority groups, and the factors that prevent these communities from participating in physical activity, has been relatively overlooked. As a result, our capacity to develop effective and attainable physical activity interventions with the potential to extend healthy life expectancy in communities who experience health inequalities is limited. 
 
What will we do?
Research, including at the University of Birmingham, clearly shows an urgent need for research to understand the health benefits of physical activity in poorer and minority ethnic communities and the barriers that these populations need to overcome to participate and adhere to physically active living. This proposal is for a research network that brings together people with different knowledge and backgrounds, to work together on this challenge and encourage physical activity research that targets health inequality.
 
What will this network look like?
The network will bring together researchers; academics from health, psycho-social, environmental sciences and beyond, with relevant healthcare professionals; policy makers; and voluntary sector organisations. Those who experience of health inequality will be at the heart of our network as leaders, partners and advisors. Network steer will be guided by an Expert Advisory Group and stakeholder representatives. 
 
What is the network's main aim?
The network will address the central question:
How can we better understand the health benefits of physical activity in socially deprived and minority ethnic communities and overcome the challenges they face and improve their access to physically active living, so that they are able to spend more years in good health?
Our network will focus on two main themes:
1. Understanding the health benefits of physical activity in diverse and deprived UK communities by integrating molecular, cellular and population-level research approaches.
2. Identifying physical, environmental, cultural and psycho-social barriers to physical activity in diverse and deprived UK communities and solutions to ensure effectiveness and equity in physically active living in these populations.
 
How will this be done?
The network will:
- Fund and support small research projects in these areas, laying the groundwork for vital larger scale collaborations in this area.
- Undertake a range of activities including seminars, workshops, knowledge exchange events, interdisciplinary sandpits and writing retreats to bring people together across disciplines and sectors, increase interdisciplinary understanding, and foster two-way engagement and feedback amongst researchers and stakeholders throughout the lifecycle of the project.
- Foster the next generation of research scientists through access to funds for internships and other training and engagement opportunities.
- Run a dedicated website and engage audiences via social media to enable access and engagement with research and project findings throughout the lifecycle of the network and beyond.

Our vision is to see our network benefit socially deprived and ethnic minority commnunities, and influence policy makers and government bodies such as the Department of Health and Public Health England. We will do this by working closely with key organisations and communicating openly with all those who can make a difference to the wellbeing of our target communities to ensure our work has an impact locally, nationally and internationally.",Health & Wellbeing; Inequality & Social Justice; Governance & Policy
MICA: Minimising Mortality from Alcoholic Hepatitis,AC29C409-363F-41F7-B19E-9CE70B33C051,MR/R014019/1,Closed,Research Grant,MRC,4843964,Imperial College London,2018-05-31,2024-05-30,David Adams,David Adams (Co-I),"Alcohol related liver disease (ALD) is responsible for more than 6000 deaths a year in the UK and costs the NHS &pound;3.5 billion. Alcoholic hepatitis is a florid presentation of ALD in which patients present with jaundice and liver failure. Unfortunately, around 30% of people admitted to hospital with this condition will die within 3 months. 
The treatment of alcoholic hepatitis is complicated by the fact that there is tremendous inflammation within the liver whilst the patient is very susceptible to infection. As a result treatment with drugs, such as steroids, which suppress the immune system may exacerbate the risk of infection. In our recent trial we demonstrated that prednisolone (a steroid) reduced mortality by a small amount one month after admission but the advantage was lost at three months. Therefore, at present there is no effective treatment for this condition. 

The aim of this research is to develop clinical tests (biomarkers) which improve the management of alcoholic hepatitis and which help the pharmaceutical industry to run trials in this area. Firstly, we will use a test which measures the amount of bacterial DNA in blood to stratify the risk of infection. Identifying patients who are at high risk of infection will allow us to modify treatment, either by avoiding steroids or adding in prophylactic antibiotics. This test will also identify a group of patients who would benefit from new treatment options. 

Our second aim is to improve the way in which we predict the outcome of this disease. We have previously shown that low transferrin (a serum protein) and a variant of the gene PNPLA3 are associated with a poor prognosis. An existing blood test (ELF), which is a good prognostic test in chronic hepatitis, will be tested in alcoholic hepatitis patients. We propose to combine the new biomarkers with routine clinical data and, using sophisticated statistical techniques, generate a more accurate prognostic scoring system. This will allow us to select patients more carefully for clinical trials, for intensive care and for liver transplantation.

Although it is possible to make a diagnosis of alcoholic hepatitis based on the clinical presentation, we sometimes need to perform a liver biopsy to confirm the diagnosis. Furthermore, a biopsy is usually required in clinical trials. We are planning to develop a blood test based on the levels of a bile acid, taurocholate, which will reduce or eliminate the need for liver biopsy. 

In patients with alcoholic hepatitis the immune system is impaired making them susceptible to infections that increase the risk of dying. Analysis of the characteristics of immune cells in the blood will allow us to identify immune profiles which confer susceptibility to infection. We will use these immune profiles to evaluate new drugs in order to assess whether they are likely to increase the risk of infection either by testing the drugs on immune cells in the laboratory or by conducting immune profiling in the early stages of clinical trials. 

If our programme of research is successful we should be able to use existing drugs more effectively by avoiding complication such as infection. In addition we will encourage and facilitate pharmaceutical companies to invest in this disease area where there is a substantial unmet medical need.",Health & Wellbeing; Global Health; Economy & Development
Maximising the potential of laboratory mice for understanding the genetic basis for disease,63641952-67BF-47A3-9419-BE1DF00CD75C,MR/R017565/1,Closed,Research Grant,MRC,696945,European Bioinformatics Institute,2018-07-16,2022-07-15,David Adams,David Adams (Co-I),"Many of the most important medical discoveries in the last century have been made by studying model organisms such as the laboratory mouse. Mice were key to discovering the antibiotic effects of penicillin, the basis for how the immune system recognises virus infected cells, and are used to develop and test almost every new drug. Laboratory mouse strains display many important disease phenotypes such as resistance to various forms of cancer (e.g. liver, lung, and skin cancer), bacterial, and viral infection and are used as models for many human diseases. The foundation for studying the genetic differences in these strains is having accurate genome sequences. Currently, only one mouse strain (C57BL/6J) has a genome sequence with sufficient accuracy to study genes involved in disease and immunity. In this project, we will upgrade the genome sequences of 16 other laboratory mouse strains to be reference quality using third generation sequencing technologies. This will form the basis for studying the genes that are known to be involved in the differential response to disease and immune challenges. This will enable researchers using these strains to combine sequence and phenotypic data we will determine whether sequence variants are likely to be contributing to disease susceptibility. All of the genome data generated by the project will be made freely available so that researchers worldwide can make maximum use of these genomes.",Health & Wellbeing; Data & Digital; Global Health
Migration Diplomacy in International Politics,A71E062C-6380-44CB-803E-894E57E08083,EP/X019667/1,Closed,Research Grant,Horizon Europe Guarantee,1292567,University of Glasgow,2022-06-30,2025-07-30,Gerasimos Tsourapas,Gerasimos Tsourapas (PI),"MIGDIPLO investigates how states use cross-border mobility as an instrument of foreign policy. It extends the concept of &quot;migration diplomacy&quot; to analyse the strategic linkages between international mobility and interstate relations. Drawing on fieldwork and comparative case studies across Asia and the Middle East, the project examines how governments cooperate or exert pressure through migration-related tools, including labour agreements, visa regimes, and refugee hosting. By mapping the global politics of migration diplomacy, the research offers new insights into statecraft, power asymmetries, and the international governance of human mobility.",Migration & Citizenship; Governance & Policy; Economy & Development
Migration Diplomacy in International Politics,CE2DB1EB-3DEC-4001-B4DE-AA33ABE56387,EP/X019667/2,Active,Research Grant,Horizon Europe Guarantee,,University of Birmingham,2025-07-30,2030-07-29,Gerasimos Tsourapas,Gerasimos Tsourapas (PI),"MIGDIPLO investigates how states use cross-border mobility as an instrument of foreign policy. It extends the concept of &quot;migration diplomacy&quot; to analyse the strategic linkages between international mobility and interstate relations. Drawing on fieldwork and comparative case studies across Asia and the Middle East, the project examines how governments cooperate or exert pressure through migration-related tools, including labour agreements, visa regimes, and refugee hosting. By mapping the global politics of migration diplomacy, the research offers new insights into statecraft, power asymmetries, and the international governance of human mobility.",Migration & Citizenship; Governance & Policy; Economy & Development
"Migration of CO2 through North Sea Geological Carbon Storage Sites: Impact of Faults, Geological Heterogeneities and Dissolution",EAC2BD1A-36CD-4B99-8B98-E3E51DC93060,NE/N016386/1,Closed,Research Grant,NERC,197575,British Geological Survey,2016-04-30,2020-10-31,James White,James White (Co-I),"The storage of CO2 in deep geological formations is one of the chief technological means of reducing anthropogenic emissions of CO2 to the atmosphere. The process requires capturing CO2 at source (e.g. coal-fired power plants), transporting CO2 to the injection site, and pumping liquefied CO2 into kilometre deep, porous reservoirs that are typically initially saturated in saline water or previously contained oil or gas. Initially, buoyant CO2 tends to rise through the porous reservoir until it is trapped by an impermeable horizon, in the same way that oil or gas has been trapped over millennia. Subsequently, buoyant CO2 may be more securely trapped by dissolving CO2 into water (carbonated water is more dense than non-carbonated water and will sink), or by capillary forces acting to hold the CO2 in the small confines of the pore space. Any risk of buoyant CO2 migrating through the overburden is therefore reduced by these trapping processes. Constraining the rates of dissolution and capillary trapping in realistic geological overburden is a key component of strategies to quantify and reduce the risks of leakage. The UK is geologically well placed to implement offshore CO2 storage, with many potential reservoirs in the North Sea.

This proposal will improve our understanding of the risks of leakage through the overburden by quantifying trapping rates in faults and heterogeneous strata typical of the overburden of North Sea reservoirs, and by quantifying our ability to seismically detect any CO2 in the overburden. CO2 is less viscous than water and will finger along more permeable layers. Sedimentary strata exhibit large variations in permeability on all scales that will substantially increase the rates at which CO2 dissolves in the formation waters.

The analysis, while general in scope and resultant techniques, is applied to the Goldeneye field, a target for CO2 storage and a candidate for the Government's CCS commercialisation competition. Our approach is to geologically characterise the relevant geological heterogeneity within the overburden, and to map the structure and propensity for fluid flow within faults in that locality. Drill core provides samples of rock (5x20 cm) that can then be interrogated in the laboratory. We will directly image, at conditions typical of the overburden, the rates of fluid flow, dissolution, and capillary trapping both at the scale of individual pores within the rock (microns) and over the length of the core (centimetres). Geochemical analysis of the fluids will allow us to measure in situ dissolution and precipitation rates in our core flooding experiments. In order to determine how rates of flow and trapping may be applied at the scale of the reservoir and overburden the results must be interpreted in light of flow through 1-100 centimetre scale geological heterogeneities and along faults. To assess the impact of heterogeneities on the rates of trapping we will construct simplified models of flow along predominantly layered strata, or along cross-cutting faults, along with laboratory analogue experiments in which we can optically assess trapping rates and thereby provide a firm benchmark for our predictions. Finally, at larger scales, we will image flow up chimney structures in existing CO2 experiments (eg Sleipner in the North Sea) and thus provide quantitative estimates of our ability to seismically resolve leakage pathways in the storage overburden. 

Our proposal will develop tools needed to geologically characterise the North Sea overburden, provide quantitative estimates of trapping rates in geologically complex overburden and fault complexes, and demonstrate the ability to seismically resolve fluid flow pathways. To date geological CO2 storage has been demonstrated at relatively safe storage sites. This work would greatly expand the potential for geological CO2 storage by quantifying the potential risks associated with leakage in more geologically complex storage sites.",Governance & Policy; Migration & Citizenship; Environment & Sustainability
Mobilisation of foreign fighters in the former Soviet Union,A5F7602F-DE63-4B6D-A1AC-48FE08A1D777,ES/V003453/1,Closed,Research Grant,ESRC,472751,University of Glasgow,2022-01-05,2024-07-03,Huseyn Aliyev,Huseyn Aliyev (PI),"Foreign fighters are individuals who choose to participate in armed conflicts occurring outside their countries of residence. The rise of radical Islamist organisations, such as al-Qaeda and the Islamic State of Iraq and Levant (ISIL), has led to thousands of volunteers travelling to the Middle East from Europe and Asia to join various armed groups, significantly contributing to the strength and resilience of these radical extremist organisations. While some foreign fighters, such as British jihadist Jihadi John became notorious on social media, many more remained in the shadows supplying armed groups with human and material resources, as well as the expertise crucial for the success of such brutal militant organisations as ISIL. Over the last decade, the post-Soviet region has served as a key supplier of foreign fighters for armed conflicts in the Middle East and across the former Soviet Union. The former Soviet Union, which includes Russian Federation, the Caucasus and Central Asian regions, supplied more foreign fighters to the Middle East than any other region of the world, including the Middle East itself. 

Although there has been little research done on foreign fighters in the context of the former Soviet Union, existing scholarly works echo mass media statements and the reports by international organisations in that post-Soviet foreign fighters are viewed as primarily driven by religious and political motivations. Most of these claims are based on the analysis of secondary sources and random interviews with conflict witnesses. No comprehensive fieldwork-based projects were ever conducted to understand what effect do sociocultural traditions, perceived repressions and opportunities have on foreign fighter mobilisation in the former Soviet Union.

Years of preliminary exploratory research and a number of smaller pilot projects have led the research team to believe that post-Soviet foreign fighters mobilise not necessarily due to religious fervour or political ideology, but due to a complex combination of sociocultural and perception-centred causes. Opportunities to mobilise, or the lack thereof, also emerge as significant causes behind individual mobilisation. During our preliminary research, notions of honour, solidarity, obligation and culturally embedded customary laws, combined with ethnic and religious persecution in home countries, emerge as instrumental in individuals' choices to participate in armed conflicts abroad. 

In order to provide a definitive answer as to which factors can account for the high rates of foreign fighter mobilisation in the post-Soviet region, we propose developing a theory which will seek to demonstrate that individuals choose to become foreign fighters not necessarily due to their religion or political views, but also owing to sociocultural traditions, their perceptions of persecution and opportunities available to disengage from armed groups. To test that theory we will conduct original interview-based fieldwork amongst active, former, and aspiring foreign fighters in Ukraine, Russia's republic of Dagestan and amongst Chechen Diaspora in Western Europe (Austria, Denmark and Germany). To better understand the process of foreign fighter mobilisation and reasons behind it, we will sample widely individuals who chose to become foreign fighters in order to record their opinions and experiences. 

This original and interdisciplinary research project will be the first ever fieldwork-based effort to study foreign fighters in the former Soviet Union. Innovative research methods combining interdisciplinary approaches will be used to carry out interviews with informants. Bearing in mind that project data can inform and improve the current understanding of radicalisation causes, the project findings will have major implications for de-radicalisation, conflict de-escalation and national security across Europe, Middle East and Asia.",Conflict & Security; Culture & Heritage; Global Health
